2017-05-13,Round 0,Hokkaido Nippon-Ham Fighters,11,Chiba Lotte Marines,6
2017-05-13,Round 0,Hiroshima Toyo Carp,11,Yomiuri Giants,2
2017-05-14,Round 0,Fukuoka SoftBank Hawks,2,Tohoku Rakuten Golden Eagles,9
2017-05-14,Round 0,Tokyo Yakult Swallows,5,Chunichi Dragons,1
2017-05-14,Round 0,Orix Buffaloes,1,Saitama Seibu Lions,6
2017-05-14,Round 0,Yokohama DeNA BayStars,2,Hanshin Tigers,4
2017-05-14,Round 0,Hiroshima Toyo Carp,8,Yomiuri Giants,1
2017-05-14,Round 0,Hokkaido Nippon-Ham Fighters,4,Chiba Lotte Marines,2
2017-05-16,Round 0,Yomiuri Giants,5,Tokyo Yakult Swallows,1
2017-05-16,Round 0,Tohoku Rakuten Golden Eagles,6,Hokkaido Nippon-Ham Fighters,4
2017-05-16,Round 0,Orix Buffaloes,3,Fukuoka SoftBank Hawks,2
2017-05-16,Round 0,Hiroshima Toyo Carp,10,Yokohama DeNA BayStars,1
2017-05-16,Round 0,Hanshin Tigers,8,Chunichi Dragons,1
2017-05-16,Round 0,Chiba Lotte Marines,2,Saitama Seibu Lions,3
2017-05-17,Round 0,Hanshin Tigers,2,Chunichi Dragons,1
2017-05-17,Round 0,Hiroshima Toyo Carp,4,Yokohama DeNA BayStars,5
2017-05-17,Round 0,Orix Buffaloes,3,Fukuoka SoftBank Hawks,6
2017-05-17,Round 0,Tohoku Rakuten Golden Eagles,15,Hokkaido Nippon-Ham Fighters,6
2017-05-17,Round 0,Yomiuri Giants,0,Tokyo Yakult Swallows,7
2017-05-17,Round 0,Chiba Lotte Marines,4,Saitama Seibu Lions,8
2017-05-18,Round 0,Yomiuri Giants,0,Tokyo Yakult Swallows,1
2017-05-18,Round 0,Orix Buffaloes,2,Fukuoka SoftBank Hawks,7
2017-05-18,Round 0,Hiroshima Toyo Carp,9,Yokohama DeNA BayStars,2
2017-05-18,Round 0,Hanshin Tigers,1,Chunichi Dragons,2
2017-05-18,Round 0,Chiba Lotte Marines,1,Saitama Seibu Lions,5
2017-05-19,Round 0,Hokkaido Nippon-Ham Fighters,7,Orix Buffaloes,2
2017-05-19,Round 0,Chunichi Dragons,5,Hiroshima Toyo Carp,3
2017-05-19,Round 0,Saitama Seibu Lions,1,Fukuoka SoftBank Hawks,2
2017-05-19,Round 0,Tokyo Yakult Swallows,4,Hanshin Tigers,2
2017-05-19,Round 0,Yokohama DeNA BayStars,3,Yomiuri Giants,5
2017-05-19,Round 0,Chiba Lotte Marines,4,Tohoku Rakuten Golden Eagles,3
2017-05-20,Round 0,Yokohama DeNA BayStars,6,Yomiuri Giants,4
2017-05-20,Round 0,Saitama Seibu Lions,7,Fukuoka SoftBank Hawks,5
2017-05-20,Round 0,Hokkaido Nippon-Ham Fighters,7,Orix Buffaloes,3
2017-05-20,Round 0,Chunichi Dragons,2,Hiroshima Toyo Carp,1
2017-05-20,Round 0,Chiba Lotte Marines,0,Tohoku Rakuten Golden Eagles,2
2017-05-20,Round 0,Tokyo Yakult Swallows,8,Hanshin Tigers,3
2017-05-21,Round 0,Yokohama DeNA BayStars,0,Yomiuri Giants,4
2017-05-21,Round 0,Saitama Seibu Lions,7,Fukuoka SoftBank Hawks,6
2017-05-21,Round 0,Chiba Lotte Marines,3,Tohoku Rakuten Golden Eagles,2
2017-05-21,Round 0,Chunichi Dragons,7,Hiroshima Toyo Carp,4
2017-05-21,Round 0,Hokkaido Nippon-Ham Fighters,4,Orix Buffaloes,1
2017-05-21,Round 0,Tokyo Yakult Swallows,4,Hanshin Tigers,5
2017-05-23,Round 0,Yokohama DeNA BayStars,9,Chunichi Dragons,4
2017-05-23,Round 0,Saitama Seibu Lions,2,Hokkaido Nippon-Ham Fighters,0
2017-05-23,Round 0,Orix Buffaloes,6,Tohoku Rakuten Golden Eagles,10
